Year,Mean
2016,0.9363
2016,0.99
2015,0.8998
2015,0.87
2014,0.7408
2014,0.74
2013,0.6679
2013,0.65
2012,0.624
2012,0.63
2011,0.5788
2011,0.6
2010,0.7014
2010,0.71
2009,0.6367
2009,0.64
2008,0.5419
2008,0.54
2007,0.61
2007,0.66
2006,0.6125
2006,0.63
2005,0.6585
2005,0.69
2004,0.5783
2004,0.55
2003,0.6134
2003,0.62
2002,0.6023
2002,0.63
2001,0.5473
2001,0.55
2000,0.4262
2000,0.42
1999,0.4438
1999,0.42
1998,0.6344
1998,0.64
1997,0.5187
1997,0.48
1996,0.3228
1996,0.35
1995,0.4577
1995,0.46
1994,0.3409
1994,0.32
1993,0.2853
1993,0.24
1992,0.2571
1992,0.23
1991,0.4055
1991,0.43
1990,0.4328
1990,0.44
1989,0.297
1989,0.29
1988,0.3757
1988,0.41
1987,0.3696
1987,0.33
1986,0.2296
1986,0.19
1985,0.1342
1985,0.12
1984,0.149
1984,0.15
1983,0.3411
1983,0.3
1982,0.1815
1982,0.13
1981,0.2999
1981,0.33
1980,0.2637
1980,0.27
1979,0.2273
1979,0.17
1978,0.1123
1978,0.07
1977,0.1978
1977,0.18
1976,-0.0792
1976,-0.11
1975,0.0034
1975,-0.02
1974,-0.0719
1974,-0.07
1973,0.1641
1973,0.15
1972,0.0264
1972,0.01
1971,-0.0783
1971,-0.09
1970,0.0372
1970,0.02
1969,0.0929
1969,0.07
1968,-0.0296
1968,-0.07
1967,-0.0131
1967,-0.02
1966,-0.0227
1966,-0.05
1965,-0.078
1965,-0.1
1964,-0.1495
1964,-0.2
1963,0.1068
1963,0.06
1962,0.0888
1962,0.03
1961,0.0775
1961,0.05
1960,0.0204
1960,-0.02
1959,0.0596
1959,0.03
1958,0.1095
1958,0.07
1957,0.0488
1957,0.04
1956,-0.199
1956,-0.2
1955,-0.1354
1955,-0.15
1954,-0.1165
1954,-0.13
1953,0.0952
1953,0.08
1952,0.0248
1952,0.01
1951,-0.0132
1951,-0.07
1950,-0.1616
1950,-0.18
1949,-0.0568
1949,-0.09
1948,-0.0487
1948,-0.09
1947,-0.0477
1947,-0.05
1946,-0.004
1946,-0.04
1945,0.171
1945,0.12
1944,0.2928
1944,0.25
1943,0.157
1943,0.13
1942,0.1538
1942,0.09
1941,0.196
1941,0.12
1940,0.0947
1940,0.08
1939,-0.0139
1939,-0.03
1938,-0.0288
1938,-0.03
1937,-0.0157
1937,-0.03
1936,-0.1134
1936,-0.15
1935,-0.1392
1935,-0.2
1934,-0.1015
1934,-0.14
1933,-0.2439
1933,-0.29
1932,-0.1168
1932,-0.17
1931,-0.0686
1931,-0.09
1930,-0.1003
1930,-0.15
1929,-0.2985
1929,-0.36
1928,-0.1774
1928,-0.21
1927,-0.1546
1927,-0.21
1926,-0.0667
1926,-0.1
1925,-0.1481
1925,-0.21
1924,-0.2486
1924,-0.28
1923,-0.2156
1923,-0.24
1922,-0.2304
1922,-0.28
1921,-0.1485
1921,-0.21
1920,-0.2105
1920,-0.27
1919,-0.2055
1919,-0.22
1918,-0.2084
1918,-0.26
1917,-0.3146
1917,-0.4
1916,-0.293
1916,-0.34
1915,-0.0693
1915,-0.11
1914,-0.1395
1914,-0.16
1913,-0.3162
1913,-0.34
1912,-0.3288
1912,-0.35
1911,-0.4332
1911,-0.44
1910,-0.3789
1910,-0.42
1909,-0.4261
1909,-0.47
1908,-0.4396
1908,-0.43
1907,-0.3706
1907,-0.4
1906,-0.2174
1906,-0.23
1905,-0.2931
1905,-0.28
1904,-0.4194
1904,-0.44
1903,-0.3369
1903,-0.35
1902,-0.2463
1902,-0.27
1901,-0.1417
1901,-0.15
1900,-0.0679
1900,-0.09
1899,-0.1173
1899,-0.16
1898,-0.2546
1898,-0.28
1897,-0.1224
1897,-0.11
1896,-0.0974
1896,-0.15
1895,-0.229
1895,-0.21
1894,-0.2808
1894,-0.31
1893,-0.3212
1893,-0.3
1892,-0.3062
1892,-0.27
1891,-0.2532
1891,-0.24
1890,-0.322
1890,-0.37
1889,-0.0982
1889,-0.12
1888,-0.1471
1888,-0.2
1887,-0.2489
1887,-0.33
1886,-0.2003
1886,-0.31
1885,-0.2125
1885,-0.32
1884,-0.2009
1884,-0.28
1883,-0.1424
1883,-0.21
1882,-0.0648
1882,-0.1
1881,-0.0628
1881,-0.12
1880,-0.1148
1880,-0.2
